,central_pressure_1,central_pressure_2,central_density_1,central_density_2,radius_1,radius_2,mass_1,mass_2,central_density,mass_1__in_GeV,dimensionless_mass_1,central_density_1_in_GEV4,dimensionless_central_density_1
0,1e-06,450,1.2902873802781691,1729.1996177832773,0.009571076313100838,10.929327303589897,4.201244625894863e-12,1.9655257227937932,1730.4899051635555,4.684387757872772e+45,2.316621409069838e-09,9.900627362601222e-06,1.2222996743952126e-11
1,1342.2818801879196,450,13243.722742689708,1729.1996177832773,2.330591335820681,10.825849979682495,0.17922747948340267,1.294469091463502,14972.922360472985,1.99838639623994e+56,98.82838373793528,0.10162167418913282,1.2545885702362075e-07
2,2684.563759375839,450,19516.260671564,1729.1996177832773,2.2708887001251385,9.333136616022683,0.2254934467310961,0.7352534777433605,21245.460289347277,2.5142519310517216e+56,124.34004511006998,0.14975208420537153,1.8487911630292783e-07
3,4026.8456385637583,450,24641.622061441925,1729.1996177832773,2.208143885917726,7.195506058076101,0.24786610798033226,0.3267934790596229,26370.821679225202,2.763707103980705e+56,136.6766240629816,0.1890799843270525,2.334320794161142e-07
4,5369.127517751678,450,29173.43538454907,1729.1996177832773,2.1534418222174323,5.198134643382976,0.2606936192590985,0.12936789227708004,30902.635002332347,2.9067338547389484e+56,143.74988208521475,0.22385347407418346,2.7636231367183143e-07
5,6711.409396939598,450,33325.641381278285,1729.1996177832773,2.1062870635850826,3.9070869780825355,0.2686816341689709,0.0603485571677148,35054.84099906156,2.9958002209840258e+56,148.15457831311838,0.25571416258026763,3.156964970126761e-07
6,8053.691276127517,450,37208.32788773057,1729.1996177832773,2.0652739655719836,3.159947561318323,0.2738815508351037,0.03514653414298451,38937.52750551385,3.0537792918114062e+56,151.0218805882332,0.2855067753375099,3.524775004166789e-07
7,9395.973155315436,450,40886.720494084766,1729.1996177832773,2.0291936988395394,2.703094772874005,0.2773394536152492,0.023854290503095746,42615.92011186804,3.0923349078100287e+56,152.92861355055408,0.31373180105310594,3.87323211176674e-07
8,10738.255034503356,450,44403.43931852173,1729.1996177832773,1.9971116931489263,2.4003495904643293,0.2796460488403648,0.017804964653237276,46132.638936305004,3.1180534445700678e+56,154.20050042132226,0.34071627222749584,4.206373731203652e-07
9,12080.536913691276,450,47788.12715485101,1729.1996177832773,1.9683147278621933,2.1857152307510574,0.28115987171212803,0.014122375645836122,49517.32677263429,3.134932569590228e+56,155.03524221489715,0.36668764381372404,4.527007948317581e-07
10,13422.818792879196,450,51061.89139520701,1729.1996177832773,1.9422541607670718,2.0253984916410475,0.2821105547089858,0.01166930185762882,52791.091012990284,3.1455326850051915e+56,155.55946129278294,0.39180787695882874,4.837134283442331e-07
11,14765.100672067114,450,54241.63208789134,1729.1996177832773,1.9185090356438654,1.900739318435874,0.2826515616837131,0.009925609203587557,55970.83170567462,3.1515649127734013e+56,155.85777963691947,0.416206649037945,5.138353691826482e-07
