,central_pressure_1,central_pressure_2,central_density_1,central_density_2,radius_1,radius_2,mass_1,mass_2,central_density,mass_1__in_GeV,dimensionless_mass_1,central_density_1_in_GEV4,dimensionless_central_density_1
0,100.0,600,36176.04557450636,1726.7666942349415,0.27460729616032986,11.76919372501609,0.0009053688197043771,2.3833188759296724,37902.8122687413,1.0094862339703806e+54,5.547024956218133,0.27758587130291135,2.7758587130291133e-09
1,67213.42281879195,600,1002942.1662035228,1726.7666942349415,0.25438252882379814,12.825356908209235,0.017437839025645947,2.457511968871743,1004668.9328977577,1.9443190513595234e+55,106.83836923979382,7.695771349542622,7.695771349542622e-08
2,134326.8456375839,600,1457191.772349921,1726.7666942349415,0.24088434181937368,13.056519731408185,0.02076735577712328,2.381423140408823,1458918.539044156,2.315560169149246e+55,127.23769392453565,11.181317398279678,1.1181317398279678e-07
3,201440.26845637587,600,1821434.2456968066,1726.7666942349415,0.23189076941438122,13.104678564058153,0.02253774921405455,2.267697080765374,1823161.0123910415,2.5129590373670825e+55,138.08456247495596,13.976221117683851,1.397622111768385e-07
4,268553.6912751678,600,2139059.56661102,1726.7666942349415,0.22508326272429996,13.036739261323588,0.02365491793275764,2.1299072637499408,2140786.333305255,2.637523349502477e+55,144.92924568922405,16.413422311281746,1.6413422311281745e-07
5,335667.11409395974,600,2426906.7171098045,1726.7666942349415,0.21959419442561504,12.876469863224381,0.024421234558097808,1.973926767043523,2428633.4838040397,2.722967653227906e+55,149.62432392984067,18.62212978066788,1.862212978066788e-07
6,402780.53691275173,600,2693572.71626048,1726.7666942349415,0.21499460898349795,12.63320677420373,0.024973501908870283,1.8032373061553855,2695299.4829547154,2.7845454628390365e+55,153.007962410167,20.668310134146488,2.066831013414649e-07
7,469893.95973154367,600,2944200.549422198,1726.7666942349415,0.21103857509614346,12.309090533055777,0.02538442071517574,1.6204036893899334,2945927.316116433,2.830362909742095e+55,155.5255848684929,22.591426504001557,2.2591426504001556e-07
8,537007.3825503356,600,3182140.5073280376,1726.7666942349415,0.20757014351594796,11.901434392463976,0.025696764704243834,1.427697909126854,3183867.274022273,2.8651892645231875e+55,157.43925790933295,24.417186326120305,2.441718632612031e-07
9,604120.8053691275,600,3409680.095713795,1726.7666942349415,0.20448508030355128,11.403313932652289,0.025937552408838455,1.2274701159461092,3411406.8624080303,2.892037093585488e+55,158.9145190156001,26.1631420792963,2.61631420792963e-07
10,671234.2281879195,600,3628550.46341465,1726.7666942349415,0.20170920497204117,10.803127971597135,0.02612478393338505,1.0224460138486315,3630277.230108885,2.912913408572433e+55,160.06165145118567,27.842577207038545,2.784257720703855e-07
11,738347.6510067114,600,3839983.656976679,1726.7666942349415,0.19918829243991532,10.083223477097755,0.026270952955307732,0.8160668893916826,3841710.423670914,2.9292112545168125e+55,160.95720163447547,29.46494544340081,2.9464945443400813e-07
12,805461.0738255035,600,4045018.6531257094,1726.7666942349415,0.19688121411839787,9.217097399146944,0.026385010026494054,0.6129496571912053,4046745.4198199445,2.941928617954087e+55,161.6560079182066,31.038219059954585,3.1038219059954586e-07
13,872574.4966442954,600,4244394.393716261,1726.7666942349415,0.19475595681744012,8.1642270472005,0.02647354929763741,0.4196226658306251,4246121.1604104955,2.951800746686571e+55,162.1984714269432,32.56806810203709,3.256806810203709e-07
14,939687.9194630873,600,4438792.375725411,1726.7666942349415,0.1927873392416188,6.861535770445114,0.02654153852743742,0.2458645599351436,4440519.142419646,2.9593815458092726e+55,162.6150286865337,34.05972182920856,3.4059721829208564e-07
15,1006801.3422818793,600,4628727.255324901,1726.7666942349415,0.1909550151648716,5.221662267931286,0.02659278575096399,0.1072619151597905,4630454.022019136,2.965095611232485e+55,162.92901081365355,35.51712929890704,3.5517129298907037e-07
